Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
19,"team0759 NFLS-T04 南京外国语学校",7,20:05:31,,,"04:23:40 (-5)","02:11:30 (-1)",,"03:04:55 (-4)","01:37:22 (-6)","00:30:12 (-2)",,"01:33:52 (-1)",00:24:00,
20,"team0424 长郡中学2队 长沙市长郡中学",7,22:36:14,04:25:19,,(-3),"03:32:06 (-1)",,"03:28:16 (-7)","02:25:37 (-4)",01:32:54,,"01:57:57 (-3)",00:14:05,
21,"team0499 清华附中2队 清华大学附属中学",7,27:20:40,04:26:08,,,"04:46:17 (-3)",,"03:32:03 (-1)","04:16:40 (-4)",01:11:12,,03:06:08,"02:42:12 (-2)",
22,"team0423 长郡中学1队 长沙市长郡中学",6,08:48:50,,,,02:52:48,,00:20:29,02:15:52,"01:03:53 (-1)",,01:21:54,00:33:54,
23,"team0756 NFLS-T01 南京外国语学校",6,12:08:48,,,(-9),"02:35:10 (-5)",,"03:38:56 (-4)",00:33:37,01:05:44,,00:17:41,00:57:40,
24,"team0767 NFLS-T12 南京外国语学校",6,14:50:33,,03:34:15,,"02:32:50 (-1)",,04:06:46,(-6),01:13:24,,01:44:11,01:19:07,
25,"team0575 YWZX05 义乌中学",6,16:36:25,03:02:14,,,00:37:21,,,04:25:51,01:21:50,,04:30:35,02:38:34,
26,"team0308 华附3队 华南师范大学附属中学",6,16:49:49,,02:50:09,,"01:25:46 (-1)",,(-8),"04:35:06 (-1)","00:34:16 (-2)",,01:41:28,"03:43:04 (-2)",
27,"team0774 NFLS-T19 南京外国语学校",6,17:10:37,,03:17:28,,"03:57:43 (-11)",,(-4),01:26:16,"01:47:45 (-1)",,01:50:33,00:50:52,
28,"team0327 双十中学2队 福建省厦门双十中学",6,20:33:42,(-5),03:59:25,,01:17:29,,,"02:27:50 (-1)","02:29:04 (-2)",,"04:18:10 (-1)",04:41:44,
29,"team0773 NFLS-T18 南京外国语学校",6,21:07:27,,04:54:11,,"02:48:08 (-1)",,,"03:39:43 (-1)","01:33:42 (-4)",,"02:51:21 (-6)","01:00:22 (-1)",
30,"team0576 YWZX06 义乌中学",6,22:34:53,"03:01:54 (-2)",,,00:37:06,,(-2),04:25:37,"01:21:39 (-6)",,"04:30:16 (-3)","02:38:21 (-7)",
31,"team0781 SMZX03 佛山石门中学",5,06:40:01,,,,01:26:59,,,00:48:54,"01:25:08 (-1)",,02:01:11,00:37:49,
32,"team0766 NFLS-T11 南京外国语学校",5,06:48:21,,,,"01:37:11 (-1)",,,01:24:52,"00:47:04 (-1)",,00:22:46,01:56:28,
33,"team0789 甄综术艺 浙江省瑞安中学",5,08:52:19,,,,02:44:53,,(-15),"01:55:27 (-1)","01:45:59 (-2)",,00:48:56,00:37:04,
34,"team0778 NFLS-T23 南京外国语学校",5,09:08:37,,,,02:18:17,,,"00:51:45 (-1)","01:29:11 (-1)",,"01:17:23 (-1)",02:12:01,
35,"team0083 SSL02 东莞市东莞中学松山湖学校",5,09:31:06,,,,02:31:09,,(-1),02:33:26,"01:06:59 (-1)",,01:47:31,"00:52:01 (-1)",
36,"team0319 华附14队 华南师范大学附属中学",5,09:55:28,,,,01:54:23,,,"03:48:55 (-3)","00:46:29 (-1)",,"01:20:58 (-1)",00:24:43,
37,"team0526 绍一1队 绍兴市第一中学",5,10:43:39,(-1),,,"01:29:27 (-3)",,"04:31:51 (-1)",,"00:41:14 (-1)",,"01:10:39 (-2)",00:30:28,
38,"team0788 毛球 深圳中学",5,12:07:49,,"04:34:12 (-3)",,02:33:26,,,,00:42:14,,"01:50:51 (-3)",00:27:06,
39,"team0760 NFLS-T05 南京外国语学校",5,12:37:30,,,,"02:30:58 (-4)",,,03:03:52,"01:02:35 (-2)",,"02:51:06 (-2)",00:28:59,
40,"team0574 YWZX04 义乌中学",5,12:45:28,,,,02:26:00,,,03:50:41,01:02:33,,04:09:26,01:16:48,
41,"team0763 NFLS-T08 南京外国语学校",5,13:01:46,,,(-10),"03:18:04 (-8)",,(-8),"01:56:05 (-3)","00:33:51 (-2)",,"01:09:26 (-1)","01:04:20 (-1)",
42,"team0529 绍一4队 绍兴市第一中学",5,13:28:56,,,,"03:24:27 (-3)",,,03:24:43,"01:31:22 (-3)",,"01:55:28 (-1)",00:52:56,
43,"team0554 温中4队 温州中学",5,13:37:14,(-1),,,03:32:07,,,"01:21:54 (-3)","01:01:43 (-2)",,02:14:35,"02:46:55 (-3)",
44,"team0982 金陵2队 南京市第一中学",5,13:44:11,,,,"03:05:28 (-3)",,03:33:56,(-6),"01:22:20 (-3)",,02:07:44,01:34:43,
45,"team0571 YWZX01 义乌中学",5,13:55:20,,,,03:41:24,,,04:21:46,00:36:28,,02:41:01,02:34:41,
46,"team0039 华东师大二附中二队 华东师范大学第二附属中学",5,14:30:48,,,"03:59:33 (-2)","03:32:05 (-4)",,(-18),(-1),01:24:14,,"02:27:40 (-1)",00:47:16,
47,"team0606 Dyca 合肥168中学",5,14:47:08,,,,04:16:51,,(-1),03:20:09,"02:22:00 (-2)",,"02:49:40 (-1)",00:58:28,
48,"team0776 NFLS-T21 南京外国语学校",5,15:43:36,"04:33:06 (-2)",,,"04:12:22 (-2)",,,,"00:56:03 (-1)",,"01:12:20 (-1)","02:29:45 (-1)",
49,"team0097 在学校咱们就练起来！ 北京邮电大学",5,15:44:52,,,,01:42:08,,,03:37:50,"01:14:20 (-1)",,"03:57:33 (-13)",00:33:01,
50,"team0230 六神合体 湖南长沙麓山国际实验学校",5,15:54:00,(-2),,(-1),"01:32:18 (-2)",,03:28:12,(-5),"02:48:50 (-5)",,"03:14:36 (-3)",01:30:04,
51,"team0572 YWZX02 义乌中学",5,22:39:50,(-13),,,"03:41:07 (-10)",,,"04:21:29 (-4)","00:36:20 (-2)",,"02:46:22 (-8)","02:34:32 (-2)",
52,"team0442 关注李兰小猫咪谢谢喵 湖南师范大学附属中学",4,06:23:23,,(-2),,(-3),,(-8),"02:25:58 (-1)","00:53:56 (-1)",,"01:36:15 (-1)",00:27:14,
53,"team0768 NFLS-T13 南京外国语学校",4,09:07:58,,,,,,,03:02:29,"01:45:41 (-3)",,"02:16:32 (-2)",00:23:16,
54,"team0553 温中3队 温州中学",4,09:28:04,,,,"04:05:48 (-1)",,,02:04:10,"01:05:29 (-1)",,(-7),"01:12:37 (-1)",
55,"team0636 杭州育才5队 杭州育才中学",4,11:07:16,,,,(-1),,(-6),03:55:46,"03:01:40 (-5)",,00:51:55,"00:57:55 (-2)",
56,"team0772 NFLS-T17 南京外国语学校",4,11:23:41,,,,"02:50:19 (-3)",,,,01:17:45,,"03:11:28 (-2)",02:24:09,
57,"team0983 金陵3队 南京市第一中学",4,12:03:57,,,,"02:20:47 (-2)",,,"04:19:32 (-1)",(-6),,03:23:29,01:00:09,
58,"team0785 QZEZ02 衢州第二中学",4,12:46:01,,,,(-4),,(-1),04:59:00,"03:03:09 (-3)",,"02:47:07 (-1)",00:36:45,
59,"team0775 NFLS-T20 南京外国语学校",4,13:37:43,,,,"01:20:50 (-5)",,(-4),,"02:06:58 (-4)",,"02:59:44 (-1)",03:50:11,
60,"team0784 QZEZ01 衢州第二中学",4,13:40:37,,,,"04:08:54 (-2)",,,(-3),02:00:57,,"03:22:51 (-5)","01:27:55 (-1)",
61,"team0573 YWZX03 义乌中学",4,15:12:36,,,(-2),02:24:59,,(-2),,"01:01:47 (-2)",,"04:09:14 (-8)","01:16:36 (-9)",
62,"team0790 以应时需 浙江省瑞安中学",4,15:17:48,,,,"02:43:51 (-3)",,,(-10),00:38:43,,"03:18:35 (-8)","03:56:39 (-3)",
63,"team0764 NFLS-T09 南京外国语学校",4,15:19:26,,,,,,(-1),"04:46:59 (-1)","01:50:53 (-1)",,04:18:07,"03:03:27 (-2)",
64,"team0981 金陵1队 南京市第一中学",3,05:13:04,,,,02:37:35,,,,"01:06:57 (-2)",,,00:48:32,
65,"team0637 杭州育才6队 杭州育才中学",3,08:54:22,,,,,,,,03:54:26,,"01:08:24 (-1)",03:31:32,
66,"team0640 杭州育才9队 杭州育才中学",3,09:11:11,,,,(-10),,,,"04:17:33 (-2)",,"01:34:29 (-1)",02:19:09,
67,"team0639 杭州育才8队 杭州育才中学",3,09:39:09,,,,,,,,02:50:26,,"01:32:05 (-2)","04:16:38 (-1)",
68,"team0087 SSL06 东莞市东莞中学松山湖学校",3,10:28:59,,,,,,,03:37:58,"04:31:29 (-1)",,(-5),01:59:32,
69,"team0579 YWZX09 义乌中学",3,11:48:20,,,,"04:06:19 (-3)",,,,"02:31:42 (-4)",,(-1),02:50:19,
70,"team0964 jcsteam 济宁孔子学校",3,13:02:58,,,,"04:28:58 (-7)",,,,"01:55:33 (-2)",,(-12),"02:38:27 (-3)",
71,"team0528 绍一3队 绍兴市第一中学",2,02:51:34,,,,,,,,01:55:49,,00:55:45,,
72,"team0350 SSL08 东莞市东莞中学松山湖学校",2,04:17:04,,,,,,,,"02:26:59 (-1)",,(-2),01:30:05,
73,"team0948 DC三虾米 绵阳东辰学校",2,04:51:11,,,,,,,(-1),"02:04:30 (-3)",,01:46:41,(-5),
74,"team0086 SSL05 东莞市东莞中学松山湖学校",2,05:11:13,(-3),,,(-2),,,,02:54:48,,(-4),02:16:25,
75,"team0351 SSL09 东莞市东莞中学松山湖学校",2,06:21:41,,,,(-1),,,,(-4),,"04:57:08 (-2)",00:44:33,
76,"team0527 绍一2队 绍兴市第一中学",2,07:46:18,"03:25:49 (-2)",,,,,,,"03:00:29 (-2)",,(-2),(-6),
77,"team0314 华附9队 华南师范大学附属中学",2,08:21:02,,(-3),,,,,,,,04:38:25,03:42:37,
78,"team0310 华附5队 华南师范大学附属中学",2,08:24:49,,,,"04:56:02 (-3)",,,,,,,"02:08:47 (-1)",
79,"team0317 华附12队 华南师范大学附属中学",1,00:40:15,,,,,,,,,,"00:20:15 (-1)",,
80,"team0577 YWZX07 义乌中学",1,01:56:53,,,,(-1),,,,"01:36:53 (-1)",,,,
81,"team0638 杭州育才7队 杭州育才中学",1,02:00:53,,,,,,,,"01:20:53 (-2)",,(-2),,
82,"team0824 古法编程非遗传承人 华中科技大学",1,02:37:04,,,,,,,,,,,"02:17:04 (-1)",
83,"team0947 BurgerKing队 绵阳东辰学校",1,02:39:10,,,,,,,,"01:59:10 (-2)",,,(-3),
84,"team0946 DC1队 绵阳东辰学校",1,03:38:47,,,,(-7),,(-1),,"02:58:47 (-2)",,,,
85,"team0318 华附13队 华南师范大学附属中学",1,03:39:28,,,,,,,,03:39:28,,,,
86,"team0085 SSL04 东莞市东莞中学松山湖学校",1,04:05:59,,,,,,,,"03:45:59 (-1)",,,,
87,"team0313 华附8队 华南师范大学附属中学",1,05:22:23,,,,,,,,(-5),,"04:42:23 (-2)",(-3),
88,"team0007 广铁一中 广州市铁一中学",0,00:00:00,,,,,,,,,,,,
89,"team0008 peach 广州市第六中学",0,00:00:00,,,,,,,,,,,,
90,"team0038 华东师大二附中一队 华东师范大学第二附属中学",0,00:00:00,,,,,,,,,,,,
91,"team0059 猛炫罚时中 安徽大学",0,00:00:00,,,,(-5),,,,(-4),,(-2),,
92,"team0084 SSL03 东莞市东莞中学松山湖学校",0,00:00:00,,,,,,,,(-2),,,(-2),
93,"team0306 华附1队 华南师范大学附属中学",0,00:00:00,,,,,,,,,,,,
94,"team0307 华附2队 华南师范大学附属中学",0,00:00:00,,,,,,,,,,,,
95,"team0309 华附4队 华南师范大学附属中学",0,00:00:00,,,,,,,,,,,,
96,"team0311 华附6队 华南师范大学附属中学",0,00:00:00,,,,,,,,,,,,
97,"team0312 华附7队 华南师范大学附属中学",0,00:00:00,,,,,,,,,,,,
98,"team0315 华附10队 华南师范大学附属中学",0,00:00:00,,,,,,,,,,,,
99,"team0316 华附11队 华南师范大学附属中学",0,00:00:00,,,,,,,,,,,,
100,"team0320 华附15队 华南师范大学附属中学",0,00:00:00,,,,,,,,,,,,
101,"team0394 南外11队 慈溪中学",0,00:00:00,,,,,,,,,,,,
102,"team0498 清华附中1队 清华大学附属中学",0,00:00:00,,,,,,,,,,,,
103,"team0521 南浦实验1队 温州市南浦实验中学",0,00:00:00,,,,,,,,,,,,
104,"team0522 南浦实验2队 温州市南浦实验中学",0,00:00:00,,,,,,,,,,,(-6),
105,"team0523 南浦实验3队 温州市南浦实验中学",0,00:00:00,,,,,,,,,,,,
106,"team0524 南浦实验4队 温州市南浦实验中学",0,00:00:00,,,,,,,,,,,,
107,"team0525 南浦实验5队 温州市南浦实验中学",0,00:00:00,,,,,,,,,,,,
108,"team0530 绍一5队 绍兴市第一中学",0,00:00:00,,,,,,,,,,,,
109,"team0531 杭二1队 杭州市第二中学",0,00:00:00,,,,,,,,,,,,
110,"team0532 杭二2队 杭州市第二中学",0,00:00:00,,,,,,,,,,,,
111,"team0533 杭二3队 杭州市第二中学",0,00:00:00,,,,,,,,,,,,
112,"team0534 杭二4队 杭州市第二中学",0,00:00:00,,,,,,,,,,,,
113,"team0535 杭二5队 杭州市第二中学",0,00:00:00,,,,,,,,,,,,
114,"team0536 海亮1队 诸暨市海亮中学",0,00:00:00,,,,,,,,,,,,
115,"team0537 海亮2队 诸暨市海亮中学",0,00:00:00,,,,,,,,,,,,
116,"team0538 海亮3队 诸暨市海亮中学",0,00:00:00,,,,,,,,,,,,
117,"team0539 海亮4队 诸暨市海亮中学",0,00:00:00,,,,,,,,,,,,
118,"team0540 海亮5队 诸暨市海亮中学",0,00:00:00,,,,,,,,,,,,
119,"team0541 海亮6队 诸暨市海亮中学",0,00:00:00,,,,,,,,,,,,
120,"team0542 海亮7队 诸暨市海亮中学",0,00:00:00,,,,,,,,,,,,
121,"team0543 海亮8队 诸暨市海亮中学",0,00:00:00,,,,,,,,,,,,
122,"team0544 海亮9队 诸暨市海亮中学",0,00:00:00,,,,,,,,,,,,
123,"team0545 海亮10队 诸暨市海亮中学",0,00:00:00,,,,,,,,,,,,
124,"team0546 姚中1队 余姚中学",0,00:00:00,,,,,,,,,,,,
125,"team0547 姚中2队 余姚中学",0,00:00:00,,,,,,,,,,,,
126,"team0548 姚中3队 余姚中学",0,00:00:00,,,,,,,,,,,,
127,"team0549 姚中4队 余姚中学",0,00:00:00,,,,,,,,,,,,
128,"team0550 姚中5队 余姚中学",0,00:00:00,,,,,,,,,,,,
129,"team0551 温中1队 温州中学",0,00:00:00,,,,,,,,,,,,
130,"team0552 温中2队 温州中学",0,00:00:00,,,,,,,,,,,,
131,"team0555 温中5队 温州中学",0,00:00:00,,,,,,,,,,,,
132,"team0578 YWZX08 义乌中学",0,00:00:00,,,,,,,,,,,,
133,"team0580 YWZX10 义乌中学",0,00:00:00,,,,,,,,,,,,
134,"team0609 学军1队 学军中学",0,00:00:00,,,,,,,,,,,,
135,"team0610 学军2队 学军中学",0,00:00:00,,,,,,,,,,,,
136,"team0611 学军3队 学军中学",0,00:00:00,,,,,,,,,,,,
137,"team0612 学军4队 学军中学",0,00:00:00,,,,,,,,,,,,
138,"team0613 学军5队 学军中学",0,00:00:00,,,,,,,,,,,,
139,"team0614 学军6队 学军中学",0,00:00:00,,,,,,,,,,,,
140,"team0615 学军7队 学军中学",0,00:00:00,,,,,,,,,,,,
141,"team0616 学军8队 学军中学",0,00:00:00,,,,,,,,,,,,
142,"team0617 学军9队 学军中学",0,00:00:00,,,,,,,,,,,,
143,"team0618 学军10队 学军中学",0,00:00:00,,,,,,,,,,,,
144,"team0619 杭州育才1队 杭州育才中学",0,00:00:00,,,,,,,,,,,,
145,"team0620 杭州育才2队 杭州育才中学",0,00:00:00,,,,,,,,,,,,
146,"team0621 杭州育才3队 杭州育才中学",0,00:00:00,,,,,,,,,,,,
147,"team0622 杭州育才4队 杭州育才中学",0,00:00:00,,,,,,,,,,,,
148,"team0641 大山1队 大山中学",0,00:00:00,,,,,,,,,,,,
149,"team0642 大山2队 大山中学",0,00:00:00,,,,,,,,,,,,
150,"team0643 大山3队 大山中学",0,00:00:00,,,,,,,,,,,,
151,"team0644 大山4队 大山中学",0,00:00:00,,,,,,,,,,,,
152,"team0645 大山5队 大山中学",0,00:00:00,,,,,,,,,,,(-3),
153,"team0646 大山6队 大山中学",0,00:00:00,,,,,,,,,,,,
154,"team0650 杭二信U队 杭州市第二中学",0,00:00:00,,,,,,,,,,,,
155,"team0782 NFLS-T27 南京外国语学校",0,00:00:00,,,,,,,,,,,,
156,"team0783 NFLS-T28 南京外国语学校",0,00:00:00,,,,,,,,,,,,
157,"team0791 gy114514 广东广雅中学",0,00:00:00,,,,,,,,,,,,
158,"team0968 纪中1队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
159,"team0969 纪中2队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
160,"team0970 纪中3队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
161,"team0971 纪中4队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
162,"team0972 纪中5队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
163,"team0973 纪中6队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
164,"team0974 纪中7队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
165,"team0975 纪中8队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
166,"team0976 纪中9队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
167,"team0977 纪中10队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
168,"team0978 纪中11队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
169,"team0979 纪中12队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
170,"team0980 纪中13队 中山市中山纪念中学",0,00:00:00,,,,,,,,,,,,
171,"team0986 ycyzxcpc 宜春幼儿师范高等专科学校",0,00:00:00,,,,,,,,,,,,
